flight_id,airline_name,flight_date,booking_date,booking_window_days,departure_time,arrival_time,source_city,destination_city,route_popularity,seat_class,base_fare,dynamic_fare,seats_remaining,total_seats,competitor_avg_fare,demand_level,season,day_of_week,is_weekend,user_segment,user_loyalty_tier,promo_applied,weather_condition,cancellation_rate_route,on_time_performance,avg_searches_last_hour,avg_bookings_last_hour,surge_pricing_flag
GO991,Go First,2025-10-03,2025-08-17,47,22:45,23:15,Pune,Chennai,0.77,Economy,2727,3808,54,150,2973,High,Off-Peak,Friday,0,Family,Silver,0,Rain,0.06,86.7,222,53,1
VI587,Vistara,2025-10-06,2025-09-30,6,18:45,21:00,Chennai,Ahmedabad,0.5,Economy,7998,10676,59,180,9354,High,Off-Peak,Monday,0,Family,None,0,Fog,0.15,98.3,295,57,1
AK279,Akasa Air,2025-12-16,2025-10-24,53,14:15,17:15,Kolkata,Hyderabad,0.69,Economy,6398,7365,80,200,6211,Medium,Off-Peak,Tuesday,0,Family,None,1,Clear,0.03,90.0,279,25,1
AI251,Air India,2025-09-08,2025-08-29,10,16:45,19:00,Ahmedabad,Hyderabad,0.59,Business,15013,18715,70,180,15229,Medium,Peak,Monday,0,Student,Silver,0,Storm,0.11,93.0,274,59,1
AK775,Akasa Air,2025-11-14,2025-11-05,9,03:45,04:15,Chennai,Ahmedabad,0.87,Economy,8946,10951,76,160,10613,Medium,Festival,Friday,0,Family,Silver,0,Storm,0.09,88.8,275,3,0
AI813,Air India,2025-08-15,2025-08-08,7,01:30,05:30,Bangalore,Chennai,0.81,Economy,4146,5443,21,160,3911,High,Peak,Friday,0,Business,Gold,0,Clear,0.08,84.8,133,31,1
AI216,Air India,2025-10-18,2025-09-28,20,15:15,17:30,Chennai,Bangalore,0.76,Economy,4850,5971,71,180,4564,High,Holiday,Saturday,1,Leisure,Silver,0,Clear,0.12,97.7,169,40,1
GO860,Go First,2025-08-06,2025-06-08,59,10:30,12:45,Hyderabad,Kolkata,0.66,Economy,8366,9569,63,150,7641,Medium,Holiday,Wednesday,0,Leisure,None,0,Storm,0.03,94.5,200,38,1
SP184,SpiceJet,2025-07-26,2025-06-23,33,00:30,04:30,Chennai,Pune,0.72,Premium Economy,10887,10887,18,160,10954,Low,Off-Peak,Saturday,1,Leisure,None,1,Clear,0.07,91.6,171,54,1
IN181,IndiGo,2025-12-11,2025-10-18,54,06:30,07:45,Mumbai,Ahmedabad,0.89,Economy,8750,9792,74,160,8376,Medium,Festival,Thursday,0,Student,Platinum,1,Clear,0.12,94.0,267,9,0
AK246,Akasa Air,2025-08-31,2025-08-14,17,18:45,22:30,Pune,Kolkata,0.77,Premium Economy,8230,8710,71,150,8868,Low,Holiday,Sunday,1,Student,None,0,Clear,0.1,94.5,112,29,1
AK857,Akasa Air,2025-10-08,2025-09-30,8,12:30,14:45,Pune,Kolkata,0.82,Premium Economy,11778,13270,16,180,11703,Medium,Off-Peak,Wednesday,0,Business,None,0,Clear,0.06,91.0,128,12,0
IN839,IndiGo,2025-08-21,2025-08-12,9,02:15,05:30,Chennai,Kolkata,0.77,Economy,4327,4647,28,200,4984,Low,Off-Peak,Thursday,0,Student,None,0,Clear,0.06,92.5,171,47,1
VI718,Vistara,2025-11-09,2025-10-25,15,14:30,16:30,Ahmedabad,Mumbai,0.6,Economy,5460,6311,55,200,6396,Medium,Festival,Sunday,1,Leisure,Gold,1,Clear,0.07,96.8,90,26,1
AI640,Air India,2025-10-07,2025-10-02,5,23:30,02:45,Mumbai,Chennai,0.76,Economy,4032,4032,10,180,3640,Medium,Holiday,Tuesday,0,Leisure,None,1,Clear,0.07,88.1,175,19,0
IN885,IndiGo,2025-07-11,2025-06-14,27,21:15,22:00,Bangalore,Delhi,0.72,Economy,6520,8255,89,180,7014,High,Holiday,Friday,0,Student,Gold,1,Storm,0.03,99.0,115,36,1
IN127,IndiGo,2025-07-11,2025-07-09,2,02:00,05:45,Kolkata,Ahmedabad,0.72,Economy,6147,8851,16,180,6524,High,Off-Peak,Friday,0,Family,None,0,Clear,0.03,90.1,159,51,1
IN231,IndiGo,2025-11-03,2025-09-21,43,00:00,04:30,Delhi,Pune,0.73,Economy,8104,8875,5,200,8697,Medium,Holiday,Monday,0,Leisure,Platinum,0,Fog,0.09,93.7,252,18,0
AK103,Akasa Air,2025-08-12,2025-07-07,36,02:00,06:15,Bangalore,Ahmedabad,0.88,Economy,2585,3259,15,160,2667,Medium,Peak,Tuesday,0,Business,Platinum,0,Storm,0.03,80.8,138,46,1
AK139,Akasa Air,2025-11-21,2025-10-08,44,01:45,02:15,Chennai,Pune,0.68,Business,17381,23221,80,200,16406,High,Peak,Friday,0,Business,None,0,Fog,0.07,88.1,146,2,1
AK165,Akasa Air,2025-10-31,2025-10-29,2,06:30,08:15,Hyderabad,Kolkata,0.77,Economy,8007,9499,17,180,7614,Medium,Festival,Friday,0,Business,None,0,Clear,0.09,88.0,76,20,0
GO117,Go First,2025-09-27,2025-09-03,24,19:45,21:30,Ahmedabad,Bangalore,0.99,Economy,3925,4673,57,150,3584,Medium,Holiday,Saturday,1,Student,Silver,0,Clear,0.08,89.9,243,30,1
VI641,Vistara,2025-10-25,2025-08-26,60,19:45,22:45,Delhi,Ahmedabad,0.86,Economy,8933,11074,24,200,9121,Medium,Festival,Saturday,1,Student,Silver,0,Clear,0.09,94.2,143,38,1
IN780,IndiGo,2025-12-05,2025-12-04,1,04:15,06:00,Ahmedabad,Bangalore,0.75,Economy,3154,3154,31,160,3536,Low,Off-Peak,Friday,0,Student,None,0,Storm,0.08,90.8,201,16,0
GO321,Go First,2025-12-09,2025-11-12,27,16:00,18:00,Ahmedabad,Kolkata,0.7,Economy,5647,5647,60,150,6141,Low,Off-Peak,Tuesday,0,Business,None,1,Clear,0.04,85.9,82,29,1
AI148,Air India,2025-11-10,2025-09-23,48,22:45,00:00,Kolkata,Chennai,0.69,Economy,4382,4382,25,160,4880,Low,Holiday,Monday,0,Family,None,1,Clear,0.1,94.0,216,37,1
VI763,Vistara,2025-08-06,2025-06-27,40,05:15,08:15,Hyderabad,Pune,0.72,Economy,6057,7292,41,180,6355,Medium,Peak,Wednesday,0,Business,Silver,0,Fog,0.1,95.2,159,14,0
IN647,IndiGo,2025-10-16,2025-08-20,57,03:15,06:30,Mumbai,Pune,0.79,Business,14528,16881,26,150,13366,Low,Festival,Thursday,0,Business,Silver,0,Storm,0.08,93.2,81,30,1
